"WGS84.LAT","WGS84.LNG","ALTITUDE","AREA","MUNICIPALITY","Date.when.ovitrap.installed","Date.when.ovitrap.collected","No..Days.ovitrap.in.field","Week.when.ovitrap.collected","No..eggs.AEDES","No..Eggs.AEDES.in.14.days","TRAP.ID.fac","Day.ovitrap.collected","no.eggs.normalised.14.days"
45.84727,9.01016,304,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,34,36.6153846153846,"BAL-6b",197,36.6153846153846
45.84727,9.01016,304,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,246,246,"BAL-6b",211,246
45.84727,9.01016,304,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,192,192,"BAL-6b",225,192
45.84727,9.01016,304,"Intervention","Balerna",2019-08-13,2019-08-28,15,35,273,254.8,"BAL-6b",240,254.8
45.84727,9.01016,304,"Intervention","Balerna",2019-08-28,2019-09-11,14,37,65,65,"BAL-6b",254,65
45.84727,9.01016,304,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,3,2.625,"BAL-6b",270,2.625
45.84727,9.01016,304,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,7,7.53846153846154,"BAL-6b",283,7.53846153846154
45.8462,9.0045,267,"Intervention","Balerna",2019-06-09,2019-06-21,12,25,25,29.1666666666667,"BAL-8b",172,29.1666666666667
45.8462,9.0045,267,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,152,163.692307692308,"BAL-8b",197,163.692307692308
45.8462,9.0045,267,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,3,3,"BAL-8b",211,3
45.8462,9.0045,267,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,67,67,"BAL-8b",225,67
45.8462,9.0045,267,"Intervention","Balerna",2019-08-13,2019-08-28,15,35,257,239.866666666667,"BAL-8b",240,239.866666666667
45.8462,9.0045,267,"Intervention","Balerna",2019-08-28,2019-09-11,14,37,2,2,"BAL-8b",254,2
45.8462,9.0045,267,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,0,0,"BAL-8b",283,0
45.84477,9.00753,262,"Intervention","Balerna",2019-06-09,2019-06-21,12,25,115,134.166666666667,"BAL-9a",172,134.166666666667
45.84477,9.00753,262,"Intervention","Balerna",2019-06-21,2019-07-03,12,27,0,0,"BAL-9a",184,0
45.84477,9.00753,262,"Intervention","Balerna",2019-07-03,2019-07-16,13,29,16,17.2307692307692,"BAL-9a",197,17.2307692307692
45.84477,9.00753,262,"Intervention","Balerna",2019-07-16,2019-07-30,14,31,54,54,"BAL-9a",211,54
45.84477,9.00753,262,"Intervention","Balerna",2019-07-30,2019-08-13,14,33,23,23,"BAL-9a",225,23
45.84477,9.00753,262,"Intervention","Balerna",2019-08-13,2019-08-28,15,35,25,23.3333333333333,"BAL-9a",240,23.3333333333333
45.84477,9.00753,262,"Intervention","Balerna",2019-08-28,2019-09-11,14,37,9,9,"BAL-9a",254,9
45.84477,9.00753,262,"Intervention","Balerna",2019-09-11,2019-09-27,16,39,40,35,"BAL-9a",270,35
45.84477,9.00753,262,"Intervention","Balerna",2019-09-27,2019-10-10,13,41,17,18.3076923076923,"BAL-9a",283,18.3076923076923
45.85256,8.98971,351,"Intervention","Coldrerio",2019-05-20,2019-06-07,18,23,0,0,"COL-11a",158,0
45.85256,8.98971,351,"Intervention","Coldrerio",2019-06-07,2019-06-17,10,25,9,12.6,"COL-11a",168,12.6
45.85256,8.98971,351,"Intervention","Coldrerio",2019-06-17,2019-07-03,16,27,2,1.75,"COL-11a",184,1.75
45.85256,8.98971,351,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,81,87.2307692307692,"COL-11a",197,87.2307692307692
45.85256,8.98971,351,"Intervention","Coldrerio",2019-07-16,2019-07-29,13,31,513,552.461538461538,"COL-11a",210,552.461538461538
45.85256,8.98971,351,"Intervention","Coldrerio",2019-07-29,2019-08-13,15,33,131,122.266666666667,"COL-11a",225,122.266666666667
45.85256,8.98971,351,"Intervention","Coldrerio",2019-08-13,2019-08-28,15,35,94,87.7333333333333,"COL-11a",240,87.7333333333333
45.85256,8.98971,351,"Intervention","Coldrerio",2019-08-28,2019-09-13,16,37,99,86.625,"COL-11a",256,86.625
45.85256,8.98971,351,"Intervention","Coldrerio",2019-09-13,2019-09-27,14,39,7,7,"COL-11a",270,7
45.85256,8.98971,351,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,0,0,"COL-11a",283,0
45.85714,8.98427,347,"Intervention","Coldrerio",2019-05-20,2019-06-07,18,23,0,0,"COL-2a",158,0
45.85714,8.98427,347,"Intervention","Coldrerio",2019-06-07,2019-06-17,10,25,0,0,"COL-2a",168,0
45.85714,8.98427,347,"Intervention","Coldrerio",2019-06-17,2019-07-03,16,27,188,164.5,"COL-2a",184,164.5
45.85714,8.98427,347,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,131,141.076923076923,"COL-2a",197,141.076923076923
45.85714,8.98427,347,"Intervention","Coldrerio",2019-07-16,2019-07-29,13,31,133,143.230769230769,"COL-2a",210,143.230769230769
45.85714,8.98427,347,"Intervention","Coldrerio",2019-07-29,2019-08-13,15,33,213,198.8,"COL-2a",225,198.8
45.85714,8.98427,347,"Intervention","Coldrerio",2019-08-13,2019-08-28,15,35,118,110.133333333333,"COL-2a",240,110.133333333333
45.85714,8.98427,347,"Intervention","Coldrerio",2019-08-28,2019-09-13,16,37,219,191.625,"COL-2a",256,191.625
45.85714,8.98427,347,"Intervention","Coldrerio",2019-09-13,2019-09-27,14,39,11,11,"COL-2a",270,11
45.85714,8.98427,347,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,12,12.9230769230769,"COL-2a",283,12.9230769230769
45.85647,8.98858,353,"Intervention","Coldrerio",2019-05-20,2019-06-07,18,23,0,0,"COL-3a",158,0
45.85647,8.98858,353,"Intervention","Coldrerio",2019-06-07,2019-06-17,10,25,0,0,"COL-3a",168,0
45.85647,8.98858,353,"Intervention","Coldrerio",2019-06-17,2019-07-03,16,27,9,7.875,"COL-3a",184,7.875
45.85647,8.98858,353,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,15,16.1538461538462,"COL-3a",197,16.1538461538462
45.85647,8.98858,353,"Intervention","Coldrerio",2019-07-16,2019-07-29,13,31,38,40.9230769230769,"COL-3a",210,40.9230769230769
45.85647,8.98858,353,"Intervention","Coldrerio",2019-07-29,2019-08-13,15,33,14,13.0666666666667,"COL-3a",225,13.0666666666667
45.85647,8.98858,353,"Intervention","Coldrerio",2019-08-13,2019-08-28,15,35,19,17.7333333333333,"COL-3a",240,17.7333333333333
45.85647,8.98858,353,"Intervention","Coldrerio",2019-08-28,2019-09-13,16,37,16,14,"COL-3a",256,14
45.85647,8.98858,353,"Intervention","Coldrerio",2019-09-13,2019-09-27,14,39,0,0,"COL-3a",270,0
45.85647,8.98858,353,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,0,0,"COL-3a",283,0
45.85659,8.99154,354,"Intervention","Coldrerio",2019-05-20,2019-06-07,18,23,0,0,"COL-4b",158,0
45.85659,8.99154,354,"Intervention","Coldrerio",2019-06-07,2019-06-17,10,25,0,0,"COL-4b",168,0
45.85659,8.99154,354,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,0,0,"COL-4b",197,0
45.85659,8.99154,354,"Intervention","Coldrerio",2019-07-16,2019-07-29,13,31,32,34.4615384615385,"COL-4b",210,34.4615384615385
45.85659,8.99154,354,"Intervention","Coldrerio",2019-07-29,2019-08-13,15,33,4,3.73333333333333,"COL-4b",225,3.73333333333333
45.85659,8.99154,354,"Intervention","Coldrerio",2019-08-13,2019-08-28,15,35,94,87.7333333333333,"COL-4b",240,87.7333333333333
45.85659,8.99154,354,"Intervention","Coldrerio",2019-08-28,2019-09-13,16,37,105,91.875,"COL-4b",256,91.875
45.85659,8.99154,354,"Intervention","Coldrerio",2019-09-13,2019-09-27,14,39,144,144,"COL-4b",270,144
45.85659,8.99154,354,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,18,19.3846153846154,"COL-4b",283,19.3846153846154
45.85636,8.98085,345,"Intervention","Coldrerio",2019-05-20,2019-06-07,18,23,0,0,"COL-5a",158,0
45.85636,8.98085,345,"Intervention","Coldrerio",2019-06-07,2019-06-17,10,25,0,0,"COL-5a",168,0
45.85636,8.98085,345,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,86,92.6153846153846,"COL-5a",197,92.6153846153846
45.85636,8.98085,345,"Intervention","Coldrerio",2019-07-16,2019-07-29,13,31,139,149.692307692308,"COL-5a",210,149.692307692308
45.85636,8.98085,345,"Intervention","Coldrerio",2019-08-13,2019-08-28,15,35,269,251.066666666667,"COL-5a",240,251.066666666667
45.85636,8.98085,345,"Intervention","Coldrerio",2019-08-28,2019-09-13,16,37,365,319.375,"COL-5a",256,319.375
45.85636,8.98085,345,"Intervention","Coldrerio",2019-09-13,2019-09-27,14,39,127,127,"COL-5a",270,127
45.85636,8.98085,345,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,0,0,"COL-5a",283,0
45.85509,8.99377,348,"Intervention","Coldrerio",2019-05-20,2019-06-07,18,23,0,0,"COL-9b",158,0
45.85509,8.99377,348,"Intervention","Coldrerio",2019-06-07,2019-06-17,10,25,0,0,"COL-9b",168,0
45.85509,8.99377,348,"Intervention","Coldrerio",2019-06-17,2019-07-03,16,27,102,89.25,"COL-9b",184,89.25
45.85509,8.99377,348,"Intervention","Coldrerio",2019-07-16,2019-07-29,13,31,83,89.3846153846154,"COL-9b",210,89.3846153846154
45.85509,8.99377,348,"Intervention","Coldrerio",2019-07-29,2019-08-13,15,33,90,84,"COL-9b",225,84
45.85509,8.99377,348,"Intervention","Coldrerio",2019-08-13,2019-08-28,15,35,339,316.4,"COL-9b",240,316.4
45.85509,8.99377,348,"Intervention","Coldrerio",2019-08-28,2019-09-13,16,37,380,332.5,"COL-9b",256,332.5
45.85509,8.99377,348,"Intervention","Coldrerio",2019-09-13,2019-09-27,14,39,10,10,"COL-9b",270,10
45.85509,8.99377,348,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,28,30.1538461538462,"COL-9b",283,30.1538461538462
45.87537,8.98596,352,"Intervention","Mendrisio",2019-05-22,2019-06-03,12,23,0,0,"MEN-10a",154,0
45.87537,8.98596,352,"Intervention","Mendrisio",2019-06-03,2019-06-14,11,25,18,22.9090909090909,"MEN-10a",165,22.9090909090909
45.87537,8.98596,352,"Intervention","Mendrisio",2019-06-14,2019-07-03,19,27,69,50.8421052631579,"MEN-10a",184,50.8421052631579
45.87537,8.98596,352,"Intervention","Mendrisio",2019-07-03,2019-07-18,15,29,57,53.2,"MEN-10a",199,53.2
45.87537,8.98596,352,"Intervention","Mendrisio",2019-07-18,2019-07-30,12,31,93,108.5,"MEN-10a",211,108.5
45.87537,8.98596,352,"Intervention","Mendrisio",2019-07-30,2019-08-12,13,33,82,88.3076923076923,"MEN-10a",224,88.3076923076923
45.87537,8.98596,352,"Intervention","Mendrisio",2019-08-12,2019-08-29,17,35,281,231.411764705882,"MEN-10a",241,231.411764705882
45.87537,8.98596,352,"Intervention","Mendrisio",2019-08-29,2019-09-12,14,37,51,51,"MEN-10a",255,51
45.87537,8.98596,352,"Intervention","Mendrisio",2019-09-12,2019-09-27,15,39,0,0,"MEN-10a",270,0
45.87537,8.98596,352,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,0,0,"MEN-10a",283,0
45.87067,8.98868,364,"Intervention","Mendrisio",2019-05-22,2019-06-03,12,23,5,5.83333333333333,"MEN-18b",154,5.83333333333333
45.87067,8.98868,364,"Intervention","Mendrisio",2019-06-03,2019-06-14,11,25,20,25.4545454545455,"MEN-18b",165,25.4545454545455
45.87067,8.98868,364,"Intervention","Mendrisio",2019-06-14,2019-07-03,19,27,0,0,"MEN-18b",184,0
45.87067,8.98868,364,"Intervention","Mendrisio",2019-07-03,2019-07-18,15,29,96,89.6,"MEN-18b",199,89.6
45.87067,8.98868,364,"Intervention","Mendrisio",2019-07-18,2019-07-30,12,31,21,24.5,"MEN-18b",211,24.5
45.87067,8.98868,364,"Intervention","Mendrisio",2019-07-30,2019-08-12,13,33,92,99.0769230769231,"MEN-18b",224,99.0769230769231
45.87067,8.98868,364,"Intervention","Mendrisio",2019-08-12,2019-08-29,17,35,195,160.588235294118,"MEN-18b",241,160.588235294118
45.87067,8.98868,364,"Intervention","Mendrisio",2019-08-29,2019-09-12,14,37,0,0,"MEN-18b",255,0
45.87067,8.98868,364,"Intervention","Mendrisio",2019-09-12,2019-09-27,15,39,0,0,"MEN-18b",270,0
45.87067,8.98868,364,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,0,0,"MEN-18b",283,0
45.86858,8.98227,345,"Intervention","Mendrisio",2019-05-22,2019-06-03,12,23,0,0,"MEN-20a",154,0
45.86858,8.98227,345,"Intervention","Mendrisio",2019-06-03,2019-06-14,11,25,0,0,"MEN-20a",165,0
45.86858,8.98227,345,"Intervention","Mendrisio",2019-06-14,2019-07-03,19,27,92,67.7894736842105,"MEN-20a",184,67.7894736842105
45.86858,8.98227,345,"Intervention","Mendrisio",2019-07-03,2019-07-18,15,29,11,10.2666666666667,"MEN-20a",199,10.2666666666667
45.86858,8.98227,345,"Intervention","Mendrisio",2019-07-18,2019-07-30,12,31,32,37.3333333333333,"MEN-20a",211,37.3333333333333
45.86858,8.98227,345,"Intervention","Mendrisio",2019-07-30,2019-08-12,13,33,33,35.5384615384615,"MEN-20a",224,35.5384615384615
45.86858,8.98227,345,"Intervention","Mendrisio",2019-08-12,2019-08-29,17,35,0,0,"MEN-20a",241,0
45.86858,8.98227,345,"Intervention","Mendrisio",2019-08-29,2019-09-12,14,37,0,0,"MEN-20a",255,0
45.86858,8.98227,345,"Intervention","Mendrisio",2019-09-12,2019-09-27,15,39,0,0,"MEN-20a",270,0
45.86858,8.98227,345,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,16,17.2307692307692,"MEN-20a",283,17.2307692307692
45.86907,8.98584,359,"Intervention","Mendrisio",2019-05-22,2019-06-03,12,23,0,0,"MEN-21b",154,0
45.86907,8.98584,359,"Intervention","Mendrisio",2019-06-03,2019-06-14,11,25,3,3.81818181818182,"MEN-21b",165,3.81818181818182
45.86907,8.98584,359,"Intervention","Mendrisio",2019-06-14,2019-07-03,19,27,261,192.315789473684,"MEN-21b",184,192.315789473684
45.86907,8.98584,359,"Intervention","Mendrisio",2019-07-03,2019-07-18,15,29,357,333.2,"MEN-21b",199,333.2
45.86907,8.98584,359,"Intervention","Mendrisio",2019-07-18,2019-07-30,12,31,232,270.666666666667,"MEN-21b",211,270.666666666667
45.86907,8.98584,359,"Intervention","Mendrisio",2019-07-30,2019-08-12,13,33,240,258.461538461538,"MEN-21b",224,258.461538461538
45.86907,8.98584,359,"Intervention","Mendrisio",2019-08-12,2019-08-29,17,35,401,330.235294117647,"MEN-21b",241,330.235294117647
45.86907,8.98584,359,"Intervention","Mendrisio",2019-08-29,2019-09-12,14,37,40,40,"MEN-21b",255,40
45.86907,8.98584,359,"Intervention","Mendrisio",2019-09-12,2019-09-27,15,39,0,0,"MEN-21b",270,0
45.86907,8.98584,359,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,0,0,"MEN-21b",283,0
45.86623,8.98278,355,"Intervention","Mendrisio",2019-05-22,2019-06-03,12,23,0,0,"MEN-26a",154,0
45.86623,8.98278,355,"Intervention","Mendrisio",2019-06-03,2019-06-14,11,25,0,0,"MEN-26a",165,0
45.86623,8.98278,355,"Intervention","Mendrisio",2019-06-14,2019-07-03,19,27,6,4.42105263157895,"MEN-26a",184,4.42105263157895
45.86623,8.98278,355,"Intervention","Mendrisio",2019-07-03,2019-07-18,15,29,116,108.266666666667,"MEN-26a",199,108.266666666667
45.86623,8.98278,355,"Intervention","Mendrisio",2019-07-18,2019-07-30,12,31,70,81.6666666666667,"MEN-26a",211,81.6666666666667
45.86623,8.98278,355,"Intervention","Mendrisio",2019-07-30,2019-08-12,13,33,41,44.1538461538462,"MEN-26a",224,44.1538461538462
45.86623,8.98278,355,"Intervention","Mendrisio",2019-08-12,2019-08-29,17,35,53,43.6470588235294,"MEN-26a",241,43.6470588235294
45.86623,8.98278,355,"Intervention","Mendrisio",2019-08-29,2019-09-12,14,37,56,56,"MEN-26a",255,56
45.86623,8.98278,355,"Intervention","Mendrisio",2019-09-12,2019-09-27,15,39,0,0,"MEN-26a",270,0
45.86623,8.98278,355,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,0,0,"MEN-26a",283,0
45.86532,8.97825,332,"Intervention","Mendrisio",2019-05-22,2019-06-03,12,23,0,0,"MEN-28a",154,0
45.86532,8.97825,332,"Intervention","Mendrisio",2019-06-03,2019-06-14,11,25,0,0,"MEN-28a",165,0
45.86532,8.97825,332,"Intervention","Mendrisio",2019-06-14,2019-07-03,19,27,79,58.2105263157895,"MEN-28a",184,58.2105263157895
45.86532,8.97825,332,"Intervention","Mendrisio",2019-07-03,2019-07-18,15,29,0,0,"MEN-28a",199,0
45.86532,8.97825,332,"Intervention","Mendrisio",2019-07-18,2019-07-30,12,31,0,0,"MEN-28a",211,0
45.86532,8.97825,332,"Intervention","Mendrisio",2019-07-30,2019-08-12,13,33,94,101.230769230769,"MEN-28a",224,101.230769230769
45.86532,8.97825,332,"Intervention","Mendrisio",2019-08-12,2019-08-29,17,35,246,202.588235294118,"MEN-28a",241,202.588235294118
45.86532,8.97825,332,"Intervention","Mendrisio",2019-08-29,2019-09-12,14,37,1,1,"MEN-28a",255,1
45.86532,8.97825,332,"Intervention","Mendrisio",2019-09-12,2019-09-27,15,39,0,0,"MEN-28a",270,0
45.86532,8.97825,332,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,0,0,"MEN-28a",283,0
45.787479,8.867073,335,"Non-intervention","Malnate",2019-05-22,2019-06-05,14,23,0,0,"MAL-1a",156,0
45.787479,8.867073,335,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,238,222.133333333333,"MAL-1a",171,222.133333333333
45.787479,8.867073,335,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,345,345,"MAL-1a",185,345
45.787479,8.867073,335,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,309,332.769230769231,"MAL-1a",198,332.769230769231
45.787479,8.867073,335,"Non-intervention","Malnate",2019-07-17,2019-08-01,15,31,897,837.2,"MAL-1a",213,837.2
45.787479,8.867073,335,"Non-intervention","Malnate",2019-08-01,2019-08-12,11,33,2117,2694.36363636364,"MAL-1a",224,2694.36363636364
45.787479,8.867073,335,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,1043,858.941176470588,"MAL-1a",241,858.941176470588
45.787479,8.867073,335,"Non-intervention","Malnate",2019-08-29,2019-09-12,14,37,742,742,"MAL-1a",255,742
45.787479,8.867073,335,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,495,462,"MAL-1a",270,462
45.788844,8.873767,347,"Non-intervention","Malnate",2019-05-22,2019-06-05,14,23,11,11,"MAL-2a",156,11
45.788844,8.873767,347,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,0,0,"MAL-2a",171,0
45.788844,8.873767,347,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,144,144,"MAL-2a",185,144
45.788844,8.873767,347,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,251,270.307692307692,"MAL-2a",198,270.307692307692
45.788844,8.873767,347,"Non-intervention","Malnate",2019-07-17,2019-08-01,15,31,212,197.866666666667,"MAL-2a",213,197.866666666667
45.788844,8.873767,347,"Non-intervention","Malnate",2019-08-01,2019-08-12,11,33,667,848.909090909091,"MAL-2a",224,848.909090909091
45.788844,8.873767,347,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,536,441.411764705882,"MAL-2a",241,441.411764705882
45.788844,8.873767,347,"Non-intervention","Malnate",2019-08-29,2019-09-12,14,37,337,337,"MAL-2a",255,337
45.788844,8.873767,347,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,62,57.8666666666667,"MAL-2a",270,57.8666666666667
45.788844,8.873767,347,"Non-intervention","Malnate",2019-09-27,2019-10-10,13,41,22,23.6923076923077,"MAL-2a",283,23.6923076923077
45.798663,8.879491,349,"Non-intervention","Malnate",2019-05-22,2019-06-05,14,23,0,0,"MAL-3a",156,0
45.798663,8.879491,349,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,59,55.0666666666667,"MAL-3a",171,55.0666666666667
45.798663,8.879491,349,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,11,11,"MAL-3a",185,11
45.798663,8.879491,349,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,112,120.615384615385,"MAL-3a",198,120.615384615385
45.798663,8.879491,349,"Non-intervention","Malnate",2019-07-17,2019-08-01,15,31,324,302.4,"MAL-3a",213,302.4
45.798663,8.879491,349,"Non-intervention","Malnate",2019-08-01,2019-08-12,11,33,223,283.818181818182,"MAL-3a",224,283.818181818182
45.798663,8.879491,349,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,391,322,"MAL-3a",241,322
45.798663,8.879491,349,"Non-intervention","Malnate",2019-08-29,2019-09-12,14,37,88,88,"MAL-3a",255,88
45.798663,8.879491,349,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,44,41.0666666666667,"MAL-3a",270,41.0666666666667
45.798663,8.879491,349,"Non-intervention","Malnate",2019-09-27,2019-10-10,13,41,18,19.3846153846154,"MAL-3a",283,19.3846153846154
45.802371,8.87856,351,"Non-intervention","Malnate",2019-05-22,2019-06-05,14,23,11,11,"MAL-4a",156,11
45.802371,8.87856,351,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,41,38.2666666666667,"MAL-4a",171,38.2666666666667
45.802371,8.87856,351,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,183,183,"MAL-4a",185,183
45.802371,8.87856,351,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,106,114.153846153846,"MAL-4a",198,114.153846153846
45.802371,8.87856,351,"Non-intervention","Malnate",2019-07-17,2019-08-01,15,31,200,186.666666666667,"MAL-4a",213,186.666666666667
45.802371,8.87856,351,"Non-intervention","Malnate",2019-08-01,2019-08-12,11,33,96,122.181818181818,"MAL-4a",224,122.181818181818
45.802371,8.87856,351,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,258,212.470588235294,"MAL-4a",241,212.470588235294
45.802371,8.87856,351,"Non-intervention","Malnate",2019-08-29,2019-09-12,14,37,215,215,"MAL-4a",255,215
45.802371,8.87856,351,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,144,134.4,"MAL-4a",270,134.4
45.802371,8.87856,351,"Non-intervention","Malnate",2019-09-27,2019-10-10,13,41,0,0,"MAL-4a",283,0
45.793641,8.892238,378,"Non-intervention","Malnate",2019-05-22,2019-06-05,14,23,2,2,"MAL-5a",156,2
45.793641,8.892238,378,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,75,70,"MAL-5a",171,70
45.793641,8.892238,378,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,101,101,"MAL-5a",185,101
45.793641,8.892238,378,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,254,273.538461538462,"MAL-5a",198,273.538461538462
45.793641,8.892238,378,"Non-intervention","Malnate",2019-07-17,2019-08-01,15,31,460,429.333333333333,"MAL-5a",213,429.333333333333
45.793641,8.892238,378,"Non-intervention","Malnate",2019-08-01,2019-08-12,11,33,892,1135.27272727273,"MAL-5a",224,1135.27272727273
45.793641,8.892238,378,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,652,536.941176470588,"MAL-5a",241,536.941176470588
45.793641,8.892238,378,"Non-intervention","Malnate",2019-08-29,2019-09-12,14,37,125,125,"MAL-5a",255,125
45.793641,8.892238,378,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,124,115.733333333333,"MAL-5a",270,115.733333333333
45.793641,8.892238,378,"Non-intervention","Malnate",2019-09-27,2019-10-10,13,41,60,64.6153846153846,"MAL-5a",283,64.6153846153846
45.787266,8.901817,373,"Non-intervention","Malnate",2019-05-22,2019-06-05,14,23,0,14,"MAL-6a",156,0
