"WGS84.LAT","WGS84.LNG","ALTITUDE","AREA","MUNICIPALITY","Date.when.GAT.installed","Date.when.GAT.collected","No..Days.GAT.in.field","Week.when.GAT.collected","No..Ad..Albo.in.GAT","No..Ad..Albo.in.14.days","TRAP.ID.fac","Day.GAT.collected"
45.85714,8.98427,347,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,4,4.30769230769231,"COL-2a",283
45.85647,8.98858,353,"Intervention","Coldrerio",2019-06-05,2019-06-18,13,25,0,0,"COL-3a",169
45.85647,8.98858,353,"Intervention","Coldrerio",2019-06-18,2019-07-03,15,27,0,0,"COL-3a",184
45.85647,8.98858,353,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,0,0,"COL-3a",197
45.85647,8.98858,353,"Intervention","Coldrerio",2019-07-16,2019-07-30,14,31,2,2,"COL-3a",211
45.85647,8.98858,353,"Intervention","Coldrerio",2019-07-30,2019-08-13,14,33,0,0,"COL-3a",225
45.85647,8.98858,353,"Intervention","Coldrerio",2019-08-13,2019-08-26,13,35,0,0,"COL-3a",238
45.85647,8.98858,353,"Intervention","Coldrerio",2019-08-26,2019-09-11,16,37,0,0,"COL-3a",254
45.85647,8.98858,353,"Intervention","Coldrerio",2019-09-11,2019-09-27,16,39,0,0,"COL-3a",270
45.85647,8.98858,353,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,4,4.30769230769231,"COL-3a",283
45.85659,8.99154,354,"Intervention","Coldrerio",2019-06-05,2019-06-18,13,25,1,1.07692307692308,"COL-4b",169
45.85659,8.99154,354,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,3,3.23076923076923,"COL-4b",197
45.85659,8.99154,354,"Intervention","Coldrerio",2019-07-16,2019-07-30,14,31,5,5,"COL-4b",211
45.85659,8.99154,354,"Intervention","Coldrerio",2019-07-30,2019-08-13,14,33,2,2,"COL-4b",225
45.85659,8.99154,354,"Intervention","Coldrerio",2019-08-13,2019-08-26,13,35,5,5.38461538461539,"COL-4b",238
45.85659,8.99154,354,"Intervention","Coldrerio",2019-08-26,2019-09-11,16,37,15,13.125,"COL-4b",254
45.85659,8.99154,354,"Intervention","Coldrerio",2019-09-11,2019-09-27,16,39,5,4.375,"COL-4b",270
45.85659,8.99154,354,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,4,4.30769230769231,"COL-4b",283
45.85636,8.98085,345,"Intervention","Coldrerio",2019-06-05,2019-06-18,13,25,1,1.07692307692308,"COL-5a",169
45.85636,8.98085,345,"Intervention","Coldrerio",2019-06-18,2019-07-03,15,27,14,13.0666666666667,"COL-5a",184
45.85636,8.98085,345,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,22,23.6923076923077,"COL-5a",197
45.85636,8.98085,345,"Intervention","Coldrerio",2019-07-16,2019-07-30,14,31,20,20,"COL-5a",211
45.85636,8.98085,345,"Intervention","Coldrerio",2019-07-30,2019-08-13,14,33,4,4,"COL-5a",225
45.85636,8.98085,345,"Intervention","Coldrerio",2019-08-13,2019-08-26,13,35,7,7.53846153846154,"COL-5a",238
45.85636,8.98085,345,"Intervention","Coldrerio",2019-08-26,2019-09-11,16,37,14,12.25,"COL-5a",254
45.85636,8.98085,345,"Intervention","Coldrerio",2019-09-11,2019-09-27,16,39,13,11.375,"COL-5a",270
45.85636,8.98085,345,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,3,3.23076923076923,"COL-5a",283
45.85509,8.99377,348,"Intervention","Coldrerio",2019-06-05,2019-06-18,13,25,0,0,"COL-9b",169
45.85509,8.99377,348,"Intervention","Coldrerio",2019-06-18,2019-07-03,15,27,8,7.46666666666667,"COL-9b",184
45.85509,8.99377,348,"Intervention","Coldrerio",2019-07-03,2019-07-16,13,29,7,7.53846153846154,"COL-9b",197
45.85509,8.99377,348,"Intervention","Coldrerio",2019-07-16,2019-07-30,14,31,2,2,"COL-9b",211
45.85509,8.99377,348,"Intervention","Coldrerio",2019-07-30,2019-08-13,14,33,8,8,"COL-9b",225
45.85509,8.99377,348,"Intervention","Coldrerio",2019-08-13,2019-08-26,13,35,1,1.07692307692308,"COL-9b",238
45.85509,8.99377,348,"Intervention","Coldrerio",2019-08-26,2019-09-11,16,37,9,7.875,"COL-9b",254
45.85509,8.99377,348,"Intervention","Coldrerio",2019-09-11,2019-09-27,16,39,19,16.625,"COL-9b",270
45.85509,8.99377,348,"Intervention","Coldrerio",2019-09-27,2019-10-10,13,41,16,17.2307692307692,"COL-9b",283
45.87537,8.98596,352,"Intervention","Mendrisio",2019-06-05,2019-06-18,13,25,3,3.23076923076923,"MEN-10a",169
45.87537,8.98596,352,"Intervention","Mendrisio",2019-06-18,2019-07-03,15,27,5,4.66666666666667,"MEN-10a",184
45.87537,8.98596,352,"Intervention","Mendrisio",2019-07-03,2019-07-16,13,29,3,3.23076923076923,"MEN-10a",197
45.87537,8.98596,352,"Intervention","Mendrisio",2019-07-16,2019-07-30,14,31,9,9,"MEN-10a",211
45.87537,8.98596,352,"Intervention","Mendrisio",2019-07-30,2019-08-13,14,33,5,5,"MEN-10a",225
45.87537,8.98596,352,"Intervention","Mendrisio",2019-08-13,2019-08-26,13,35,4,4.30769230769231,"MEN-10a",238
45.87537,8.98596,352,"Intervention","Mendrisio",2019-08-26,2019-09-11,16,37,9,7.875,"MEN-10a",254
45.87537,8.98596,352,"Intervention","Mendrisio",2019-09-11,2019-09-27,16,39,3,2.625,"MEN-10a",270
45.87537,8.98596,352,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,3,3.23076923076923,"MEN-10a",283
45.87067,8.98868,364,"Intervention","Mendrisio",2019-06-05,2019-06-18,13,25,1,1.07692307692308,"MEN-18b",169
45.87067,8.98868,364,"Intervention","Mendrisio",2019-06-18,2019-07-03,15,27,1,0.933333333333333,"MEN-18b",184
45.87067,8.98868,364,"Intervention","Mendrisio",2019-07-03,2019-07-16,13,29,2,2.15384615384615,"MEN-18b",197
45.87067,8.98868,364,"Intervention","Mendrisio",2019-07-16,2019-07-30,14,31,7,7,"MEN-18b",211
45.87067,8.98868,364,"Intervention","Mendrisio",2019-07-30,2019-08-13,14,33,4,4,"MEN-18b",225
45.87067,8.98868,364,"Intervention","Mendrisio",2019-08-13,2019-08-26,13,35,2,2.15384615384615,"MEN-18b",238
45.87067,8.98868,364,"Intervention","Mendrisio",2019-08-26,2019-09-11,16,37,2,1.75,"MEN-18b",254
45.87067,8.98868,364,"Intervention","Mendrisio",2019-09-11,2019-09-27,16,39,3,2.625,"MEN-18b",270
45.87067,8.98868,364,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,3,3.23076923076923,"MEN-18b",283
45.86858,8.98227,345,"Intervention","Mendrisio",2019-06-05,2019-06-18,13,25,0,0,"MEN-20a",169
45.86858,8.98227,345,"Intervention","Mendrisio",2019-06-18,2019-07-03,15,27,0,0,"MEN-20a",184
45.86858,8.98227,345,"Intervention","Mendrisio",2019-07-03,2019-07-16,13,29,6,6.46153846153846,"MEN-20a",197
45.86858,8.98227,345,"Intervention","Mendrisio",2019-07-16,2019-07-30,14,31,10,10,"MEN-20a",211
45.86858,8.98227,345,"Intervention","Mendrisio",2019-07-30,2019-08-13,14,33,4,4,"MEN-20a",225
45.86858,8.98227,345,"Intervention","Mendrisio",2019-08-13,2019-08-26,13,35,3,3.23076923076923,"MEN-20a",238
45.86858,8.98227,345,"Intervention","Mendrisio",2019-08-26,2019-09-11,16,37,4,3.5,"MEN-20a",254
45.86858,8.98227,345,"Intervention","Mendrisio",2019-09-11,2019-09-27,16,39,4,3.5,"MEN-20a",270
45.86858,8.98227,345,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,1,1.07692307692308,"MEN-20a",283
45.86907,8.98584,359,"Intervention","Mendrisio",2019-06-05,2019-06-18,13,25,0,0,"MEN-21b",169
45.86907,8.98584,359,"Intervention","Mendrisio",2019-06-18,2019-07-03,15,27,0,0,"MEN-21b",184
45.86907,8.98584,359,"Intervention","Mendrisio",2019-07-03,2019-07-16,13,29,0,0,"MEN-21b",197
45.86907,8.98584,359,"Intervention","Mendrisio",2019-07-16,2019-07-30,14,31,1,1,"MEN-21b",211
45.86907,8.98584,359,"Intervention","Mendrisio",2019-07-30,2019-08-13,14,33,0,0,"MEN-21b",225
45.86907,8.98584,359,"Intervention","Mendrisio",2019-08-13,2019-08-26,13,35,0,0,"MEN-21b",238
45.86907,8.98584,359,"Intervention","Mendrisio",2019-08-26,2019-09-11,16,37,0,0,"MEN-21b",254
45.86907,8.98584,359,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,0,0,"MEN-21b",283
45.86623,8.98278,355,"Intervention","Mendrisio",2019-06-05,2019-06-18,13,25,0,0,"MEN-26a",169
45.86623,8.98278,355,"Intervention","Mendrisio",2019-06-18,2019-07-03,15,27,5,4.66666666666667,"MEN-26a",184
45.86623,8.98278,355,"Intervention","Mendrisio",2019-07-03,2019-07-16,13,29,9,9.69230769230769,"MEN-26a",197
45.86623,8.98278,355,"Intervention","Mendrisio",2019-07-16,2019-07-30,14,31,16,16,"MEN-26a",211
45.86623,8.98278,355,"Intervention","Mendrisio",2019-07-30,2019-08-13,14,33,8,8,"MEN-26a",225
45.86623,8.98278,355,"Intervention","Mendrisio",2019-08-13,2019-08-26,13,35,11,11.8461538461538,"MEN-26a",238
45.86623,8.98278,355,"Intervention","Mendrisio",2019-08-26,2019-09-11,16,37,7,6.125,"MEN-26a",254
45.86623,8.98278,355,"Intervention","Mendrisio",2019-09-11,2019-09-27,16,39,0,0,"MEN-26a",270
45.86623,8.98278,355,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,1,1.07692307692308,"MEN-26a",283
45.86532,8.97825,332,"Intervention","Mendrisio",2019-06-18,2019-07-03,15,27,0,0,"MEN-28a",184
45.86532,8.97825,332,"Intervention","Mendrisio",2019-07-03,2019-07-16,13,29,2,2.15384615384615,"MEN-28a",197
45.86532,8.97825,332,"Intervention","Mendrisio",2019-07-16,2019-07-30,14,31,0,0,"MEN-28a",211
45.86532,8.97825,332,"Intervention","Mendrisio",2019-07-30,2019-08-13,14,33,0,0,"MEN-28a",225
45.86532,8.97825,332,"Intervention","Mendrisio",2019-08-13,2019-08-26,13,35,0,0,"MEN-28a",238
45.86532,8.97825,332,"Intervention","Mendrisio",2019-08-26,2019-09-11,16,37,1,0.875,"MEN-28a",254
45.86532,8.97825,332,"Intervention","Mendrisio",2019-09-11,2019-09-27,16,39,1,0.875,"MEN-28a",270
45.86532,8.97825,332,"Intervention","Mendrisio",2019-09-27,2019-10-10,13,41,1,1.07692307692308,"MEN-28a",283
45.787479,8.867073,335,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,0,0,"MAL-1a",171
45.787479,8.867073,335,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,2,2,"MAL-1a",185
45.787479,8.867073,335,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,7,7.53846153846154,"MAL-1a",198
45.787479,8.867073,335,"Non-intervention","Malnate",2019-07-17,2019-08-01,15,31,0,0,"MAL-1a",213
45.787479,8.867073,335,"Non-intervention","Malnate",2019-08-01,2019-08-12,11,33,6,7.63636363636364,"MAL-1a",224
45.787479,8.867073,335,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,19,15.6470588235294,"MAL-1a",241
45.787479,8.867073,335,"Non-intervention","Malnate",2019-08-29,2019-09-12,14,37,19,19,"MAL-1a",255
45.787479,8.867073,335,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,7,6.53333333333333,"MAL-1a",270
45.787479,8.867073,335,"Non-intervention","Malnate",2019-09-27,2019-10-10,13,41,10,10.7692307692308,"MAL-1a",283
45.788844,8.873767,347,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,3,2.8,"MAL-2a",171
45.788844,8.873767,347,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,6,6,"MAL-2a",185
45.788844,8.873767,347,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,7,7.53846153846154,"MAL-2a",198
45.788844,8.873767,347,"Non-intervention","Malnate",2019-07-17,2019-08-01,15,31,12,11.2,"MAL-2a",213
45.788844,8.873767,347,"Non-intervention","Malnate",2019-08-01,2019-08-12,11,33,8,10.1818181818182,"MAL-2a",224
45.788844,8.873767,347,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,10,8.23529411764706,"MAL-2a",241
45.788844,8.873767,347,"Non-intervention","Malnate",2019-08-29,2019-09-12,14,37,9,9,"MAL-2a",255
45.788844,8.873767,347,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,8,7.46666666666667,"MAL-2a",270
45.788844,8.873767,347,"Non-intervention","Malnate",2019-09-27,2019-10-10,13,41,10,10.7692307692308,"MAL-2a",283
45.798663,8.879491,349,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,6,5.6,"MAL-3a",171
45.798663,8.879491,349,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,10,10,"MAL-3a",185
45.798663,8.879491,349,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,10,10.7692307692308,"MAL-3a",198
45.798663,8.879491,349,"Non-intervention","Malnate",2019-07-17,2019-08-01,15,31,10,9.33333333333333,"MAL-3a",213
45.798663,8.879491,349,"Non-intervention","Malnate",2019-08-01,2019-08-12,11,33,16,20.3636363636364,"MAL-3a",224
45.798663,8.879491,349,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,23,18.9411764705882,"MAL-3a",241
45.798663,8.879491,349,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,2,1.86666666666667,"MAL-3a",270
45.798663,8.879491,349,"Non-intervention","Malnate",2019-09-27,2019-10-10,13,41,1,1.07692307692308,"MAL-3a",283
45.802371,8.87856,351,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,1,0.933333333333333,"MAL-4a",171
45.802371,8.87856,351,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,5,5,"MAL-4a",185
45.802371,8.87856,351,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,50,53.8461538461538,"MAL-4a",198
45.802371,8.87856,351,"Non-intervention","Malnate",2019-08-01,2019-08-12,11,33,49,62.3636363636364,"MAL-4a",224
45.802371,8.87856,351,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,83,68.3529411764706,"MAL-4a",241
45.802371,8.87856,351,"Non-intervention","Malnate",2019-08-29,2019-09-12,14,37,27,27,"MAL-4a",255
45.802371,8.87856,351,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,31,28.9333333333333,"MAL-4a",270
45.802371,8.87856,351,"Non-intervention","Malnate",2019-09-27,2019-10-10,13,41,27,29.0769230769231,"MAL-4a",283
45.793641,8.892238,378,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,11,10.2666666666667,"MAL-5a",171
45.793641,8.892238,378,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,12,12,"MAL-5a",185
45.793641,8.892238,378,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,20,21.5384615384615,"MAL-5a",198
45.793641,8.892238,378,"Non-intervention","Malnate",2019-07-17,2019-08-01,15,31,5,4.66666666666667,"MAL-5a",213
45.793641,8.892238,378,"Non-intervention","Malnate",2019-08-01,2019-08-12,11,33,1,1.27272727272727,"MAL-5a",224
45.793641,8.892238,378,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,83,68.3529411764706,"MAL-5a",241
45.793641,8.892238,378,"Non-intervention","Malnate",2019-08-29,2019-09-12,14,37,19,19,"MAL-5a",255
45.793641,8.892238,378,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,18,16.8,"MAL-5a",270
45.793641,8.892238,378,"Non-intervention","Malnate",2019-09-27,2019-10-10,13,41,4,4.30769230769231,"MAL-5a",283
45.787266,8.901817,373,"Non-intervention","Malnate",2019-06-05,2019-06-20,15,25,0,0,"MAL-6a",171
45.787266,8.901817,373,"Non-intervention","Malnate",2019-06-20,2019-07-04,14,27,3,3,"MAL-6a",185
45.787266,8.901817,373,"Non-intervention","Malnate",2019-07-04,2019-07-17,13,29,2,2.15384615384615,"MAL-6a",198
45.787266,8.901817,373,"Non-intervention","Malnate",2019-07-17,2019-08-01,15,31,3,2.8,"MAL-6a",213
45.787266,8.901817,373,"Non-intervention","Malnate",2019-08-12,2019-08-29,17,35,12,9.88235294117647,"MAL-6a",241
45.787266,8.901817,373,"Non-intervention","Malnate",2019-08-29,2019-09-12,14,37,6,6,"MAL-6a",255
45.787266,8.901817,373,"Non-intervention","Malnate",2019-09-12,2019-09-27,15,39,11,10.2666666666667,"MAL-6a",270
45.787266,8.901817,373,"Non-intervention","Malnate",2019-09-27,2019-10-10,13,41,19,20.4615384615385,"MAL-6a",283
45.84271,9.03975,223,"Non-intervention","Maslianico",2019-06-05,2019-06-18,13,25,4,4.30769230769231,"MSL-1a",169
45.84271,9.03975,223,"Non-intervention","Maslianico",2019-06-18,2019-07-03,15,27,4,3.73333333333333,"MSL-1a",184
45.84271,9.03975,223,"Non-intervention","Maslianico",2019-07-03,2019-07-16,13,29,10,10.7692307692308,"MSL-1a",197
45.84271,9.03975,223,"Non-intervention","Maslianico",2019-07-16,2019-07-30,14,31,6,6,"MSL-1a",211
45.84271,9.03975,223,"Non-intervention","Maslianico",2019-07-30,2019-08-13,14,33,13,13,"MSL-1a",225
45.84271,9.03975,223,"Non-intervention","Maslianico",2019-08-13,2019-08-26,13,35,25,26.9230769230769,"MSL-1a",238
45.84271,9.03975,223,"Non-intervention","Maslianico",2019-08-26,2019-09-11,16,37,8,7,"MSL-1a",254
45.84271,9.03975,223,"Non-intervention","Maslianico",2019-09-27,2019-10-10,13,41,7,7.53846153846154,"MSL-1a",283
45.84268,9.04556,224,"Non-intervention","Maslianico",2019-07-03,2019-07-16,13,29,3,3.23076923076923,"MSL-2a",197
45.84268,9.04556,224,"Non-intervention","Maslianico",2019-07-16,2019-07-30,14,31,2,2,"MSL-2a",211
45.84268,9.04556,224,"Non-intervention","Maslianico",2019-08-26,2019-09-11,16,37,8,7,"MSL-2a",254
45.84268,9.04556,224,"Non-intervention","Maslianico",2019-09-11,2019-09-27,16,39,3,2.625,"MSL-2a",270
45.84268,9.04556,224,"Non-intervention","Maslianico",2019-09-27,2019-10-10,13,41,3,3.23076923076923,"MSL-2a",283
45.84113,9.04714,217,"Non-intervention","Maslianico",2019-06-05,2019-06-18,13,25,0,0,"MSL-3a",169
45.84113,9.04714,217,"Non-intervention","Maslianico",2019-06-18,2019-07-03,15,27,0,0,"MSL-3a",184
45.84113,9.04714,217,"Non-intervention","Maslianico",2019-07-03,2019-07-16,13,29,1,1.07692307692308,"MSL-3a",197
45.84113,9.04714,217,"Non-intervention","Maslianico",2019-07-16,2019-07-30,14,31,6,6,"MSL-3a",211
45.84113,9.04714,217,"Non-intervention","Maslianico",2019-09-11,2019-09-27,16,39,2,1.75,"MSL-3a",270
45.84113,9.04714,217,"Non-intervention","Maslianico",2019-09-27,2019-10-10,13,41,0,0,"MSL-3a",283
45.83961,9.0516,214,"Non-intervention","Maslianico",2019-06-05,2019-06-18,13,25,6,6.46153846153846,"MSL-4a",169
45.83961,9.0516,214,"Non-intervention","Maslianico",2019-07-03,2019-07-16,13,29,3,3.23076923076923,"MSL-4a",197
